Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,131.899994,134.679993,131.179993,131.539993,124.260719,1739253
2022-02-24,123.239998,126.300003,120.839996,124.180000,117.308022,5173306
2022-02-25,125.239998,129.720001,123.379997,129.720001,122.541451,3418900
2022-02-28,125.900002,127.379997,123.339996,126.660004,119.650787,2992904
2022-03-01,125.000000,126.360001,120.459999,120.459999,113.793884,3010657
2022-03-02,118.279999,125.379997,117.040001,123.800003,116.949051,2987823
2022-03-03,124.339996,125.639999,121.099998,121.620003,114.889687,1956787
2022-03-04,119.519997,120.739998,113.000000,113.220001,106.954536,3624203
2022-03-07,107.900002,116.599998,105.919998,113.779999,107.483543,4550094
2022-03-08,111.379997,118.500000,111.379997,115.500000,109.108368,3811520
2022-03-09,120.260002,127.720001,118.879997,127.720001,120.652122,4704208
2022-03-10,126.599998,127.220001,122.000000,123.080002,116.268898,2759502
2022-03-11,123.739998,129.919998,123.160004,127.279999,120.236465,3258566
2022-03-14,129.679993,132.399994,128.199997,129.160004,122.012436,2310944
2022-03-15,127.500000,129.240005,124.800003,128.360001,121.256706,2142367
2022-03-16,132.619995,136.419998,130.339996,136.240005,128.700638,3115941
2022-03-17,136.300003,138.080002,132.440002,134.539993,127.094704,1998509
2022-03-18,136.020004,136.279999,132.179993,136.039993,128.511703,4267580
2022-03-21,135.600006,136.179993,131.899994,133.080002,125.715515,1705760
2022-03-22,132.779999,134.860001,132.559998,133.199997,125.828865,1626654
2022-03-23,133.080002,134.059998,129.380005,131.000000,123.750618,1620694
2022-03-24,131.080002,131.720001,129.520004,130.119995,122.919304,1723026
2022-03-25,130.179993,130.699997,127.320000,128.380005,121.275604,1379779
2022-03-28,128.399994,132.100006,128.399994,129.199997,122.050217,1708571
2022-03-29,131.240005,135.559998,130.940002,134.460007,127.019142,1730002
2022-03-30,133.020004,133.580002,129.679993,130.020004,122.824844,1594768
2022-03-31,131.059998,131.699997,125.660004,125.660004,118.706123,2432448
2022-04-01,126.360001,127.000000,125.099998,126.699997,119.688568,1442314
2022-04-04,126.440002,126.699997,123.459999,125.720001,118.762802,1484671
2022-04-05,124.419998,125.480003,121.059998,122.000000,115.248665,1884275
2022-04-06,121.019997,121.739998,116.760002,118.000000,111.470016,2246397
2022-04-07,117.980003,118.000000,115.540001,115.959999,109.542908,2195972
2022-04-08,118.099998,118.959999,116.879997,118.099998,111.564476,1593694
2022-04-11,116.779999,118.580002,116.059998,116.199997,109.769623,1590609
2022-04-12,114.639999,117.239998,113.440002,116.639999,110.185280,1916039
2022-04-13,115.320000,116.639999,114.660004,116.279999,109.845200,1560221
2022-04-14,117.300003,117.320000,115.080002,117.000000,110.525352,1954861
2022-04-19,116.059998,117.620003,114.900002,117.120003,110.638718,1296302
2022-04-20,116.739998,120.720001,115.980003,119.760002,113.132622,1666290
2022-04-21,119.760002,119.760002,119.760002,119.760002,113.132622,0
2022-04-22,120.739998,121.699997,118.239998,118.239998,111.696739,1660535
2022-04-25,115.879997,117.699997,114.779999,115.980003,109.561806,1730463
2022-04-26,117.199997,117.680000,112.779999,113.019997,106.765602,2018371
2022-04-27,113.019997,113.019997,113.019997,113.019997,106.765602,0
2022-04-28,115.739998,117.699997,114.639999,116.260002,109.826309,1693228
2022-04-29,117.099998,118.800003,116.760002,117.779999,111.262184,1759425
2022-05-02,116.199997,116.900002,114.379997,115.120003,108.749390,1628285
2022-05-03,115.239998,116.660004,113.040001,114.559998,108.220383,1947417
2022-05-04,114.500000,116.900002,113.779999,115.779999,109.372871,1533708
2022-05-05,118.500000,120.180000,115.940002,116.580002,110.128601,1760697
2022-05-06,116.580002,116.580002,116.580002,116.580002,110.128601,0
2022-05-09,113.599998,114.879997,111.639999,111.699997,105.518646,1493160
2022-05-10,113.720001,116.959999,113.220001,114.720001,108.371529,1684129
2022-05-11,115.160004,116.800003,113.180000,116.800003,110.336426,2070082
